epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.502549491145394,0.25,1.4837020635604858,0.0
2,1.3166872750629077,0.32954545454545453,1.3321149349212646,0.25
3,1.2047802724621512,0.4715909090909091,1.2864725589752197,0.5
4,1.122325450181961,0.5625,1.2005826234817505,0.25
5,1.019489418376576,0.625,1.1392757892608643,0.75
6,0.988892295143821,0.6022727272727273,1.1140116453170776,0.5
7,1.0321706479245967,0.5965909090909091,1.043213963508606,0.75
8,1.0007881169969386,0.5511363636363636,1.0385949611663818,0.5
9,0.8835046318444338,0.6988636363636364,0.903052806854248,0.5
10,0.8503373034975745,0.6647727272727273,0.8734530210494995,0.75
11,0.858964743939313,0.7443181818181818,0.8613335490226746,0.75
12,0.805645311420614,0.7329545454545454,0.8656718730926514,0.5
13,0.811855749650435,0.6818181818181818,0.776462197303772,1.0
14,0.8087715235623446,0.6875,0.7829573154449463,0.75
15,0.7755997627973557,0.6931818181818182,0.738369345664978,0.75
16,0.7885846373709765,0.6988636363636364,0.7802231907844543,0.75
17,0.7338401323015039,0.7329545454545454,0.8562012314796448,0.75
18,0.8303279131650925,0.6704545454545454,0.702526867389679,1.0
19,0.738147803328254,0.7386363636363636,0.8491499423980713,0.5
20,0.664279888976704,0.7897727272727273,0.7082015872001648,0.75
