epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.3431053631533232,0.32226832641770403,1.3395932386447857,0.275974025974026
2,1.1991337071150994,0.4343015214384509,1.3271724651386212,0.24675324675324675
3,1.1282132067621002,0.4896265560165975,1.1445998936504513,0.4902597402597403
4,0.9903791700985751,0.5726141078838174,1.104306755127845,0.5616883116883117
5,0.8923435387604793,0.6410788381742739,0.815447258484828,0.711038961038961
6,0.7787488505223645,0.69432918395574,0.7327579070221294,0.7727272727272727
7,0.6562737842318428,0.7344398340248963,0.5677122660465055,0.8051948051948052
8,0.6068112752703051,0.7766251728907331,0.6187109931722864,0.8116883116883117
9,0.5642363910523358,0.7883817427385892,0.5547707206630087,0.814935064935065
10,0.5111723979973695,0.8167358229598893,0.5368108075934571,0.8181818181818182
11,0.4513350364907978,0.830567081604426,0.4931363584352778,0.8636363636363636
12,0.47031959860404005,0.8395573997233748,0.5126608487266999,0.8311688311688312
13,0.40842368042567956,0.8547717842323651,0.4362971903151506,0.8571428571428571
14,0.4053736895549512,0.8575380359612724,0.5236669174673689,0.8474025974025974
15,0.3935473023464241,0.8589211618257261,0.46316290675819694,0.8571428571428571
16,0.392006362323362,0.8609958506224067,0.5595074157629695,0.8181818181818182
17,0.3597743825917422,0.8692946058091287,0.468064154365233,0.8668831168831169
18,0.35294989767493384,0.8699861687413555,0.4840607477182692,0.8603896103896104
19,0.3603257074163786,0.8741355463347165,0.551656866518708,0.8376623376623377
20,0.30142962806220497,0.9004149377593361,0.4264267903643769,0.8668831168831169
