epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.374874679024238,0.2915707047443574,1.4937278032302856,0.1961206896551724
2,1.243960513436042,0.4035006909258406,1.2196879890458336,0.3793103448275862
3,1.0224993664896582,0.5416858590511285,0.8816027589913072,0.6745689655172413
4,0.8338017699796447,0.6642100414555504,0.6828156939611353,0.75
5,0.6782516456045681,0.740672501151543,0.6110791172189959,0.7844827586206896
6,0.593803934323958,0.7858129894058038,0.4741437832728542,0.8405172413793104
7,0.5286265333941981,0.7996315062183326,0.5465675999635252,0.8211206896551724
8,0.4693154557297055,0.8309534776600644,0.4612996765123359,0.8448275862068966
9,0.4474824939518549,0.8433901427913404,0.4431074987715592,0.8556034482758621
10,0.4671791050461293,0.8323353293413174,0.368045288892784,0.896551724137931
11,0.42046887060187205,0.8452326116996776,0.43086017324621306,0.8426724137931034
12,0.39856159287401466,0.8608935974205435,0.35883280981717436,0.8814655172413793
13,0.3828375980717858,0.8590511285122063,0.37577542192543506,0.8814655172413793
14,0.3681014904886216,0.8682634730538922,0.37059882740040534,0.875
15,0.35616003827139125,0.8710271764163979,0.33707038224333546,0.9051724137931034
16,0.346192661303905,0.8701059419622293,0.3588259299988216,0.8836206896551724
17,0.3121732569362699,0.8876093965914326,0.32376165779564403,0.896551724137931
18,0.33124727494662903,0.8783970520497466,0.3141945097394737,0.8900862068965517
19,0.299728063127787,0.8894518654997697,0.2967443111019434,0.9073275862068966
20,0.3097569652970748,0.8871487793643482,0.40106474002823234,0.8599137931034483
