epoch,phase,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy
1,fc_only,0.001,1.1240172270752418,0.5228215767634855,0.7536725874070997,0.7694805194805194
2,fc_only,0.001,0.8475605223848283,0.7047026279391425,0.6373220937592643,0.8344155844155844
3,fc_only,0.001,0.7353046538918839,0.7634854771784232,0.8481198394453371,0.6818181818181818
4,fine_tuning,5e-05,0.5278117740797305,0.8651452282157677,0.40919528959633467,0.9318181818181818
5,fine_tuning,5e-05,0.42597527597949714,0.91701244813278,0.36011389904207997,0.9512987012987013
6,fine_tuning,5e-05,0.3804913762529196,0.9426002766251729,0.3754154238607976,0.9415584415584416
7,fine_tuning,5e-05,0.3655126397375579,0.9529737206085753,0.3416716599619234,0.9545454545454546
8,fine_tuning,5e-05,0.3522779345718492,0.9495159059474412,0.3376704299604738,0.961038961038961
9,fine_tuning,5e-05,0.3340060254597565,0.9612724757952974,0.33265526844309523,0.9642857142857143
10,fine_tuning,5e-05,0.31813992586703055,0.966804979253112,0.32704609400266177,0.974025974025974
11,fine_tuning,5e-05,0.3028016197153806,0.9806362378976486,0.32413789939570736,0.9577922077922078
12,fine_tuning,5e-05,0.3217847264406592,0.9661134163208852,0.37763702482372136,0.9512987012987013
13,fine_tuning,5e-05,0.3034357490381265,0.9723374827109267,0.3534094722240002,0.9545454545454546
14,fine_tuning,5e-05,0.2969479067032103,0.9757952973720608,0.3537177551876415,0.9512987012987013
15,fine_tuning,5e-05,0.2806297931639815,0.9861687413554634,0.331263272793262,0.9545454545454546
16,fine_tuning,5e-05,0.2930218248446453,0.9806362378976486,0.301586821481779,0.9675324675324676
17,fine_tuning,5e-05,0.28976787461861864,0.9813278008298755,0.33648390351951896,0.9642857142857143
18,fine_tuning,5e-05,0.27562914794906046,0.9896265560165975,0.3526626604718047,0.9512987012987013
19,fine_tuning,5e-05,0.2727270054619342,0.9868603042876902,0.3292848084654127,0.961038961038961
20,fine_tuning,5e-05,0.2741819890331925,0.9889349930843707,0.31307351279568363,0.961038961038961
