epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.411624501733219,0.17647058823529413,1.3869141340255737,0.25
2,1.3885295952067656,0.25,1.386523683865865,0.25
3,1.3878628997241749,0.25,1.3868749141693115,0.25
4,1.3864629899754244,0.27941176470588236,1.3897754748662312,0.16666666666666666
5,1.3853894542245304,0.29411764705882354,1.3908383051554363,0.16666666666666666
6,1.3815132730147417,0.29411764705882354,1.3992607990900676,0.25
7,1.3963222643908333,0.2647058823529412,1.402448336283366,0.08333333333333333
8,1.383643949733061,0.25,1.3926580746968586,0.25
9,1.3883434604195988,0.22058823529411764,1.3904266357421875,0.16666666666666666
10,1.3852557014016544,0.25,1.3932705322901409,0.25
11,1.381640546462115,0.29411764705882354,1.4035141865412395,0.16666666666666666
12,1.3771638309254366,0.19117647058823528,1.4534462292989094,0.16666666666666666
13,1.3735973063637228,0.25,1.440019925435384,0.25
14,1.36879142592935,0.38235294117647056,1.4727556705474854,0.08333333333333333
15,1.3655932370354147,0.3088235294117647,1.5091441472371419,0.08333333333333333
16,1.33502837489633,0.4117647058823529,1.5736828645070393,0.0
17,1.319003371631398,0.39705882352941174,1.6930439472198486,0.16666666666666666
18,1.2689754682428696,0.4117647058823529,1.9118905067443848,0.0
19,1.2808627942029167,0.39705882352941174,1.798196792602539,0.0
20,1.2953410990097944,0.4117647058823529,1.7355761528015137,0.08333333333333333
