epoch,phase,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy
1,fc_only,0.001,1.0279460581751365,0.5771533855366191,0.7515262154669597,0.7866379310344828
2,fc_only,0.001,0.7859282260773535,0.7286964532473514,0.6701928253831535,0.7952586206896551
3,fc_only,0.001,0.7195647976355638,0.7521879318286504,0.6596274293702225,0.7952586206896551
4,fine_tuning,5e-05,0.5252591075023052,0.8645785352372178,0.41567442386314785,0.9245689655172413
5,fine_tuning,5e-05,0.42979032449160015,0.9175495163519115,0.4095051897497013,0.9331896551724138
6,fine_tuning,5e-05,0.3854838206657118,0.9396591432519577,0.3575689671882268,0.9461206896551724
7,fine_tuning,5e-05,0.3607939142392342,0.9507139567019807,0.35132160268980883,0.9525862068965517
8,fine_tuning,5e-05,0.3396351365025062,0.9608475356978351,0.35546339380330055,0.9504310344827587
9,fine_tuning,5e-05,0.3295553737057897,0.9645324735145094,0.34665133007641497,0.9568965517241379
10,fine_tuning,5e-05,0.3168876927220728,0.9700598802395209,0.3587539774076692,0.9568965517241379
11,fine_tuning,5e-05,0.3089706985042261,0.9723629663749425,0.33893714793797197,0.9633620689655172
12,fine_tuning,5e-05,0.2934811736295323,0.9820359281437125,0.33395547753778,0.9612068965517241
13,fine_tuning,5e-05,0.2932318586363654,0.981114693689544,0.34251770197317516,0.9612068965517241
14,fine_tuning,5e-05,0.2816918227102613,0.9861814831874712,0.3530836981432191,0.9482758620689655
15,fine_tuning,5e-05,0.2731630620540204,0.9903270382312298,0.3234421754705495,0.9655172413793104
16,fine_tuning,5e-05,0.28292629516025886,0.9857208659603869,0.32998285571049,0.959051724137931
17,fine_tuning,5e-05,0.2750054836026099,0.9871027176416398,0.32576361324252756,0.9633620689655172
18,fine_tuning,5e-05,0.2723178938614614,0.987563334868724,0.31409750287902766,0.9676724137931034
19,fine_tuning,5e-05,0.27482014266454036,0.9843390142791341,0.31380905622038346,0.9612068965517241
20,fine_tuning,5e-05,0.2605917840605779,0.992169507139567,0.30980637952171525,0.9698275862068966
