epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.3865676794237303,0.2635228848821082,1.3738133151546803,0.3006535947712418
2,1.3184760218685112,0.37309292649098474,1.2976737341849633,0.2549019607843137
3,1.2121063504734912,0.44521497919556174,1.4280872664420434,0.3006535947712418
4,1.1323263291347043,0.5048543689320388,1.0307550858827979,0.5947712418300654
5,0.9658741803010525,0.5963938973647711,1.3175712979696934,0.5490196078431373
6,0.8768472132323395,0.6047156726768377,0.9626737910937639,0.5947712418300654
7,0.8320208938834974,0.6532593619972261,0.6059185048333959,0.7581699346405228
8,0.7003094295605542,0.7198335644937587,0.7066337688296449,0.7581699346405228
9,0.7630261184438423,0.6934812760055479,0.940045273771473,0.6209150326797386
10,0.6681943194380084,0.7461858529819695,0.5017666418860162,0.8104575163398693
11,0.6768353683111903,0.7323162274618585,0.49536878006910184,0.8431372549019608
12,0.6222588290123272,0.7517337031900139,0.39301929004441677,0.8627450980392157
13,0.5973653674549352,0.7572815533980582,0.48475362226561786,0.8431372549019608
14,0.5063350171098762,0.8085991678224688,0.4326341789629724,0.8562091503267973
15,0.5442679706283798,0.7947295423023578,0.482653003307729,0.8104575163398693
16,0.5045530197266154,0.8252427184466019,0.45010648555810157,0.8366013071895425
17,0.5178789402178686,0.8072122052704577,0.5835267714547371,0.8366013071895425
18,0.5150458406755151,0.8099861303744799,0.4270315963738397,0.8758169934640523
19,0.44318144634138695,0.8349514563106796,0.4145645339078471,0.9019607843137255
20,0.40109936004290137,0.8474341192787794,0.4107140236430698,0.869281045751634
