model,architecture,dataset_size,accuracy,precision_weighted,recall_weighted,f1_weighted
models/resnet_grande.pth,resnet,grande,0.9829424307036247,0.9830062919229067,0.9829424307036247,0.9829324523127636
models/resnet_mediano.pth,resnet,mediano,0.9681528662420382,0.9690704506034856,0.9681528662420382,0.9683765401247252
models/resnet_pequeno.pth,resnet,pequeno,0.9433962264150944,0.9472989751562045,0.9433962264150944,0.9440504506216932
models/cnn_grande.pth,cnn,grande,0.8400852878464818,0.87276720823501,0.8400852878464818,0.8449916805058685
models/cnn_mediano.pth,cnn,mediano,0.8885350318471338,0.8984325944236023,0.8885350318471338,0.8909561769812893
models/cnn_pequeno.pth,cnn,pequeno,0.8364779874213837,0.8821038064496645,0.8364779874213837,0.8439527348961311
