epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.692363844198339,0.19117647058823528,1.5227977434794109,0.25
2,1.4112314055947697,0.3235294117647059,1.4795687198638916,0.3333333333333333
3,1.3321626607109518,0.35294117647058826,1.3469873666763306,0.3333333333333333
4,1.2920833335203283,0.3382352941176471,1.332484761873881,0.3333333333333333
5,1.2114474142298979,0.5588235294117647,1.3474659125010173,0.4166666666666667
6,1.194566011428833,0.45588235294117646,1.2949479818344116,0.3333333333333333
7,1.031055765993455,0.6764705882352942,1.30336860815684,0.5
8,1.1204258413875805,0.5588235294117647,1.2528390487035115,0.4166666666666667
9,0.9250253544134253,0.75,1.2784270842870076,0.3333333333333333
10,0.9485383945352891,0.7352941176470589,1.2915373245875041,0.3333333333333333
11,0.9716720370685353,0.7205882352941176,1.2524553934733074,0.3333333333333333
12,0.9563373467501473,0.7058823529411765,1.2339329322179158,0.5
13,0.8227198474547442,0.7794117647058824,1.2243209679921467,0.5
14,0.776163613095003,0.8088235294117647,1.2307824691136677,0.3333333333333333
15,0.8072544686934527,0.6911764705882353,1.1823666890462239,0.5
16,0.8463043535456938,0.7205882352941176,1.1573823690414429,0.5
17,0.8189174322520986,0.7205882352941176,1.1481719811757405,0.5833333333333334
18,0.7682087000678567,0.8088235294117647,1.2531914710998535,0.4166666666666667
19,0.8093182900372673,0.6911764705882353,1.1582268079121907,0.5
20,0.8184893376686994,0.7352941176470589,1.1958126624425252,0.6666666666666666
